time,frequency,confidence
0.000,64.833,0.153833
0.010,65.493,0.770195
0.020,65.449,0.905138
0.030,65.312,0.933010
0.040,65.171,0.939468
0.050,65.088,0.943732
0.060,65.248,0.931340
0.070,65.311,0.948135
0.080,65.149,0.933744
0.090,65.210,0.930969
0.100,65.192,0.939466
0.110,65.200,0.934993
0.120,65.148,0.944751
0.130,65.158,0.940065
0.140,65.253,0.934882
0.150,65.245,0.934886
0.160,65.186,0.944303
0.170,65.155,0.944986
0.180,65.187,0.932574
0.190,65.246,0.940928
0.200,65.245,0.929461
0.210,65.134,0.941454
0.220,65.200,0.934373
0.230,65.241,0.933967
0.240,65.291,0.938172
0.250,65.200,0.941076
0.260,65.139,0.946624
0.270,65.278,0.946523
0.280,65.201,0.941200
0.290,65.241,0.937427
0.300,65.176,0.943177
0.310,65.162,0.937616
0.320,65.271,0.941164
0.330,65.214,0.945490
0.340,65.073,0.939865
0.350,65.199,0.937343
0.360,65.247,0.944071
0.370,65.257,0.942836
0.380,65.168,0.939260
0.390,65.121,0.944799
0.400,65.252,0.939968
0.410,65.238,0.941091
0.420,65.201,0.944499
0.430,65.145,0.941433
0.440,65.177,0.933624
0.450,65.244,0.939470
0.460,65.220,0.936160
0.470,65.168,0.939654
0.480,65.217,0.944645
0.490,65.254,0.937404
0.500,65.278,0.939104
0.510,65.191,0.944290
0.520,65.191,0.947708
0.530,65.275,0.952659
0.540,65.146,0.936228
0.550,65.225,0.940378
0.560,65.201,0.947850
0.570,65.113,0.943834
0.580,65.256,0.937509
0.590,65.192,0.939820
0.600,65.169,0.938499
0.610,65.151,0.948632
0.620,65.187,0.940926
0.630,65.232,0.937595
0.640,65.220,0.940311
0.650,65.204,0.948458
0.660,65.215,0.945838
0.670,65.159,0.941934
0.680,65.207,0.942624
0.690,65.236,0.936161
0.700,65.184,0.937756
0.710,65.249,0.942174
0.720,65.216,0.937502
0.730,65.208,0.936303
0.740,65.197,0.942078
0.750,65.205,0.942614
0.760,65.293,0.948515
0.770,65.206,0.945857
0.780,65.224,0.945406
0.790,65.203,0.944740
0.800,65.185,0.940503
0.810,65.239,0.942649
0.820,65.220,0.947985
0.830,65.072,0.940952
0.840,65.219,0.939543
0.850,65.216,0.942476
0.860,65.230,0.942084
0.870,65.189,0.943896
0.880,65.136,0.944271
0.890,65.198,0.936772
0.900,65.217,0.939522
0.910,65.223,0.948273
0.920,65.174,0.942872
0.930,65.178,0.934978
0.940,65.207,0.937692
0.950,65.220,0.934647
0.960,65.208,0.945423
0.970,65.238,0.943479
0.980,65.242,0.937230
0.990,65.279,0.940462
1.000,65.209,0.945493
1.010,65.168,0.947860
1.020,65.267,0.949059
1.030,65.144,0.935641
1.040,65.244,0.942449
1.050,65.171,0.946033
1.060,65.077,0.945489
1.070,65.252,0.937600
1.080,65.220,0.943765
1.090,65.133,0.938446
1.100,65.131,0.947455
1.110,65.161,0.940820
1.120,65.265,0.941495
1.130,65.225,0.940163
1.140,65.145,0.945658
1.150,65.215,0.941826
1.160,65.207,0.942447
1.170,65.210,0.944785
1.180,65.166,0.935093
1.190,65.159,0.931420
1.200,65.270,0.941582
1.210,65.242,0.939483
1.220,65.159,0.936351
1.230,65.142,0.942553
1.240,65.233,0.937326
1.250,65.341,0.946253
1.260,65.204,0.943684
