time,frequency,confidence
0.000,661.655,0.549832
0.010,662.341,0.573348
0.020,663.061,0.698047
0.030,663.197,0.705592
0.040,662.769,0.658592
0.050,1979.379,0.710850
0.060,1979.732,0.717237
0.070,1979.894,0.696727
0.080,1980.059,0.669759
0.090,662.818,0.660901
0.100,662.530,0.668890
0.110,1979.233,0.710895
0.120,1979.700,0.700094
0.130,1979.710,0.693615
0.140,1979.846,0.670232
0.150,662.733,0.664634
0.160,1979.066,0.679635
0.170,1978.976,0.723744
0.180,1979.348,0.724376
0.190,1979.717,0.707937
0.200,1980.102,0.678630
0.210,1979.974,0.675214
0.220,1978.970,0.688244
0.230,1978.997,0.719434
0.240,1979.334,0.720360
0.250,1979.505,0.712502
0.260,1979.855,0.670635
0.270,1979.773,0.680558
0.280,1978.677,0.695059
0.290,1978.708,0.731993
0.300,1979.163,0.723540
0.310,1979.676,0.712203
0.320,1979.988,0.675868
0.330,1979.736,0.683908
0.340,1978.756,0.702057
0.350,1979.059,0.724479
0.360,1979.304,0.723356
0.370,1979.525,0.716542
0.380,1979.845,0.683075
0.390,1979.410,0.684581
0.400,1978.315,0.713804
0.410,1978.525,0.736250
0.420,1979.086,0.737225
0.430,1979.530,0.727145
0.440,1979.951,0.689409
0.450,1979.356,0.691971
0.460,1978.564,0.716117
0.470,1978.851,0.732051
0.480,1979.081,0.730712
0.490,1979.377,0.721249
0.500,1979.720,0.682334
0.510,1979.041,0.693288
0.520,1978.269,0.724550
0.530,1978.750,0.737492
0.540,1979.163,0.734799
0.550,1979.683,0.717076
0.560,1979.809,0.681859
0.570,1978.963,0.698205
0.580,1978.617,0.724334
0.590,1979.044,0.729905
0.600,1979.282,0.733949
0.610,1979.710,0.708830
0.620,1979.696,0.682395
0.630,1978.561,0.707462
0.640,1978.427,0.734069
0.650,1978.862,0.739028
0.660,1979.398,0.731709
0.670,1979.859,0.701417
0.680,1979.647,0.690157
0.690,1978.629,0.706831
0.700,1978.729,0.731332
0.710,1978.995,0.735158
0.720,1979.301,0.733764
0.730,1979.721,0.687240
0.740,1979.403,0.692471
0.750,1978.382,0.711129
0.760,1978.525,0.738846
0.770,1979.007,0.734075
0.780,1979.612,0.729356
0.790,1979.918,0.689877
0.800,1979.412,0.692004
0.810,1978.490,0.715674
0.820,1978.833,0.730208
0.830,1979.102,0.733046
0.840,1979.447,0.722532
0.850,1979.730,0.686604
0.860,1979.116,0.689413
0.870,1978.286,0.721836
0.880,1978.664,0.737131
0.890,1979.221,0.736451
0.900,1979.674,0.718619
0.910,1979.920,0.685926
0.920,1979.032,0.700947
0.930,1978.600,0.721813
0.940,1978.913,0.732736
0.950,1979.253,0.730501
0.960,1979.559,0.713092
0.970,1979.656,0.686917
0.980,1978.676,0.702333
0.990,1978.326,0.732664
1.000,1978.867,0.737633
1.010,1979.303,0.733729
1.020,1979.858,0.706113
1.030,1979.669,0.690948
1.040,1978.678,0.707013
1.050,1978.681,0.732076
1.060,1978.994,0.732730
1.070,1979.267,0.732896
1.080,1979.682,0.698741
1.090,1979.449,0.686655
1.100,1978.351,0.710159
1.110,1978.549,0.736339
1.120,1979.001,0.738957
1.130,1979.514,0.730086
1.140,1979.926,0.692216
1.150,1979.479,0.690716
1.160,1978.536,0.711794
1.170,1978.797,0.733045
1.180,1979.062,0.734128
1.190,1979.394,0.728109
1.200,1979.767,0.680644
1.210,1979.207,0.692836
1.220,1978.328,0.717221
1.230,1978.664,0.737278
1.240,1979.118,0.731758
1.250,1979.729,0.724630
1.260,1979.901,0.690629
1.270,1979.121,0.699629
1.280,1978.436,0.723175
1.290,1978.865,0.730096
1.300,1979.159,0.731962
1.310,1979.586,0.713938
1.320,1979.747,0.682061
1.330,1978.817,0.698796
1.340,1978.356,0.733092
1.350,1978.853,0.735986
1.360,1979.380,0.736014
1.370,1979.805,0.708602
1.380,1979.789,0.687396
1.390,1978.701,0.706604
1.400,1978.689,0.729232
1.410,1978.949,0.732713
1.420,1979.299,0.731430
1.430,1979.644,0.700252
1.440,1979.485,0.690025
1.450,1978.437,0.706931
1.460,1978.441,0.736223
1.470,1978.958,0.736984
1.480,1979.442,0.733333
1.490,1979.922,0.693432
1.500,1979.514,0.692154
1.510,1978.574,0.710674
1.520,1978.785,0.732703
1.530,1979.052,0.733755
1.540,1979.360,0.726567
1.550,1979.759,0.688671
1.560,1979.252,0.686011
1.570,1978.285,0.715155
1.580,1978.667,0.738223
1.590,1979.084,0.737902
1.600,1979.567,0.722791
1.610,1979.919,0.683527
1.620,1979.256,0.691070
1.630,1978.509,0.720250
1.640,1978.891,0.732672
1.650,1979.119,0.732575
1.660,1979.500,0.715176
1.670,1979.753,0.678510
1.680,1978.898,0.694287
1.690,1978.293,0.727185
1.700,1978.811,0.735629
1.710,1979.288,0.731937
1.720,1979.912,0.713708
1.730,1979.813,0.688730
1.740,1978.817,0.703618
1.750,1978.564,0.730092
1.760,1978.939,0.732197
1.770,1979.239,0.732339
1.780,1979.633,0.702271
1.790,1979.537,0.688583
1.800,1978.492,0.705164
1.810,1978.418,0.735266
1.820,1978.928,0.735964
1.830,1979.431,0.736468
1.840,1979.836,0.698739
1.850,1979.626,0.689413
1.860,1978.522,0.710114
1.870,1978.818,0.731665
1.880,1979.008,0.734126
1.890,1979.353,0.731133
1.900,1979.768,0.688549
1.910,1979.328,0.690979
1.920,1978.306,0.713473
1.930,1978.538,0.736863
1.940,1979.035,0.737338
1.950,1979.546,0.729173
1.960,1979.937,0.688214
1.970,1979.312,0.691289
1.980,1978.559,0.717411
1.990,1978.830,0.732755
2.000,1979.118,0.732249
