time,frequency,confidence
0.000,520.220,0.846828
0.010,518.027,0.903890
0.020,517.903,0.915864
0.030,518.680,0.891264
0.040,518.177,0.900655
0.050,518.175,0.938808
0.060,518.636,0.937175
0.070,518.571,0.946734
0.080,518.400,0.949602
0.090,518.777,0.946361
0.100,518.670,0.955200
0.110,518.750,0.954917
0.120,519.040,0.953126
0.130,518.901,0.957365
0.140,518.898,0.954200
0.150,518.986,0.951761
0.160,518.949,0.958752
0.170,519.108,0.956069
0.180,519.153,0.955076
0.190,518.856,0.957193
0.200,519.067,0.953014
0.210,519.005,0.955099
0.220,518.898,0.958679
0.230,519.268,0.955106
0.240,519.066,0.956816
0.250,518.887,0.956210
0.260,519.159,0.951978
0.270,519.015,0.957632
0.280,519.068,0.957816
0.290,519.291,0.954537
0.300,519.017,0.957877
0.310,519.033,0.954540
0.320,519.191,0.953181
0.330,519.006,0.958709
0.340,519.150,0.956543
0.350,519.295,0.955644
0.360,518.960,0.957807
0.370,519.135,0.953531
0.380,519.172,0.954807
0.390,519.108,0.959103
0.400,519.343,0.955122
0.410,519.234,0.956888
0.420,519.026,0.955843
0.430,519.326,0.952157
0.440,519.142,0.956820
0.450,519.131,0.958490
0.460,519.515,0.954814
0.470,519.123,0.957222
0.480,519.118,0.955548
0.490,519.302,0.952422
0.500,519.127,0.958221
0.510,519.207,0.957329
0.520,519.416,0.955889
0.530,519.084,0.957428
0.540,519.239,0.954476
0.550,519.267,0.954089
0.560,519.120,0.959052
0.570,519.358,0.955937
0.580,519.352,0.956528
0.590,519.006,0.956634
0.600,519.247,0.952182
0.610,519.218,0.956321
0.620,519.070,0.958605
0.630,519.425,0.955057
0.640,519.177,0.956888
0.650,519.070,0.955725
0.660,519.320,0.952060
0.670,519.125,0.958178
0.680,519.221,0.957491
0.690,519.435,0.954906
0.700,519.075,0.957983
0.710,519.173,0.954331
0.720,519.324,0.953398
0.730,519.108,0.958597
0.740,519.285,0.956216
0.750,519.411,0.955499
0.760,519.024,0.957344
0.770,519.219,0.953161
0.780,519.257,0.955219
0.790,519.097,0.959055
0.800,519.395,0.954850
0.810,519.190,0.957002
0.820,519.004,0.956012
0.830,519.323,0.952142
0.840,519.117,0.956950
0.850,519.186,0.958406
0.860,519.484,0.954608
0.870,519.087,0.957141
0.880,519.106,0.955136
0.890,519.309,0.952409
0.900,519.159,0.958443
0.910,519.250,0.956977
0.920,519.412,0.955543
0.930,519.044,0.957559
0.940,519.199,0.953654
0.950,519.254,0.954398
0.960,519.102,0.958844
0.970,519.354,0.955640
0.980,519.292,0.956185
0.990,518.982,0.955977
1.000,519.235,0.952124
1.010,519.151,0.956657
1.020,519.083,0.958295
1.030,519.460,0.954720
1.040,519.126,0.957227
1.050,519.089,0.955330
1.060,519.291,0.952127
1.070,519.133,0.958375
1.080,519.213,0.957387
1.090,519.449,0.955078
1.100,519.070,0.957450
1.110,519.200,0.954484
1.120,519.332,0.953623
1.130,519.098,0.958946
1.140,519.325,0.956076
1.150,519.405,0.955738
1.160,519.018,0.956999
1.170,519.222,0.952468
1.180,519.234,0.955781
1.190,519.072,0.959047
1.200,519.420,0.954929
1.210,519.197,0.956654
1.220,519.014,0.956118
1.230,519.335,0.951960
1.240,519.110,0.957503
1.250,519.229,0.958175
1.260,519.468,0.954827
1.270,519.101,0.957747
1.280,519.142,0.954566
1.290,519.291,0.953105
1.300,519.120,0.958622
1.310,519.268,0.956771
1.320,519.412,0.955621
1.330,519.038,0.957618
1.340,519.236,0.953429
1.350,519.234,0.954794
1.360,519.131,0.959020
1.370,519.369,0.955048
1.380,519.247,0.956979
1.390,519.071,0.955773
1.400,519.300,0.952276
1.410,519.138,0.957012
1.420,519.099,0.958244
1.430,519.481,0.954758
1.440,519.127,0.957183
1.450,519.100,0.955319
1.460,519.299,0.952191
1.470,519.135,0.958330
1.480,519.218,0.957078
1.490,519.407,0.955634
1.500,519.080,0.957507
1.510,519.216,0.954293
1.520,519.282,0.954043
1.530,519.114,0.958999
1.540,519.345,0.955933
1.550,519.369,0.955885
1.560,518.989,0.956692
1.570,519.250,0.952047
1.580,519.191,0.956162
1.590,519.066,0.958600
1.600,519.438,0.955020
1.610,519.165,0.956797
1.620,519.068,0.955950
1.630,519.297,0.952201
1.640,519.112,0.958031
1.650,519.239,0.957854
1.660,519.456,0.954912
1.670,519.075,0.957988
1.680,519.181,0.954330
1.690,519.308,0.953467
1.700,519.081,0.958954
1.710,519.286,0.956299
1.720,519.401,0.955823
1.730,519.008,0.957177
1.740,519.202,0.953046
1.750,519.221,0.955208
1.760,519.115,0.958975
1.770,519.394,0.954818
1.780,519.212,0.957122
1.790,519.042,0.955703
1.800,519.354,0.952071
1.810,519.121,0.957113
1.820,519.158,0.958265
1.830,519.499,0.954827
1.840,519.123,0.957250
1.850,519.111,0.955008
1.860,519.278,0.952478
1.870,519.155,0.958301
1.880,519.225,0.956869
1.890,519.377,0.955953
1.900,519.078,0.957586
1.910,519.256,0.954011
1.920,519.250,0.954617
1.930,519.128,0.958965
1.940,519.376,0.955586
1.950,519.297,0.956500
1.960,519.015,0.956325
1.970,519.242,0.951908
1.980,519.185,0.956749
1.990,519.056,0.958299
2.000,519.477,0.954944
2.010,519.167,0.957065
2.020,519.106,0.955540
2.030,519.314,0.952430
2.040,519.078,0.957976
2.050,519.198,0.957045
2.060,519.434,0.955251
2.070,519.045,0.957555
2.080,519.195,0.954196
2.090,519.304,0.953754
2.100,519.103,0.958804
2.110,519.300,0.956076
2.120,519.380,0.956110
2.130,519.012,0.956738
2.140,519.224,0.952258
2.150,519.217,0.955646
2.160,519.092,0.958801
2.170,519.422,0.954731
2.180,519.179,0.956944
2.190,519.029,0.955793
2.200,519.348,0.952408
2.210,519.107,0.957330
2.220,519.197,0.958040
2.230,519.481,0.955026
2.240,519.098,0.957716
2.250,519.134,0.954898
2.260,519.282,0.952848
2.270,519.106,0.958796
2.280,519.270,0.956689
2.290,519.347,0.956079
2.300,519.051,0.957369
2.310,519.233,0.953608
2.320,519.238,0.955198
2.330,519.137,0.959018
2.340,519.390,0.955074
2.350,519.233,0.956867
2.360,519.019,0.955967
2.370,519.278,0.951878
2.380,519.159,0.957233
2.390,519.116,0.958195
2.400,519.474,0.954833
2.410,519.131,0.957119
2.420,519.126,0.955236
2.430,519.281,0.952348
2.440,519.137,0.958473
