time,frequency,confidence
0.000,1019.724,0.645265
0.010,1017.108,0.824450
0.020,1018.738,0.714840
0.030,1018.301,0.809560
0.040,1019.859,0.810012
0.050,1021.651,0.801736
0.060,1019.801,0.860373
0.070,1020.742,0.843118
0.080,1021.593,0.800224
0.090,1019.856,0.862107
0.100,1020.534,0.848249
0.110,1021.287,0.837916
0.120,1019.341,0.869314
0.130,1020.363,0.848055
0.140,1021.419,0.848443
0.150,1020.002,0.857780
0.160,1021.290,0.853611
0.170,1021.146,0.850619
0.180,1019.797,0.860440
0.190,1021.217,0.843012
0.200,1021.771,0.851208
0.210,1020.664,0.866615
0.220,1021.666,0.846298
0.230,1021.294,0.850534
0.240,1020.023,0.862435
0.250,1021.526,0.846036
0.260,1021.763,0.851101
0.270,1020.711,0.864599
0.280,1021.832,0.846115
0.290,1021.303,0.856628
0.300,1019.833,0.858793
0.310,1021.807,0.840572
0.320,1021.546,0.851001
0.330,1020.645,0.857700
0.340,1021.551,0.842622
0.350,1021.092,0.857254
0.360,1020.552,0.857044
0.370,1021.967,0.850528
0.380,1021.739,0.856050
0.390,1021.409,0.860561
0.400,1022.153,0.852065
0.410,1021.279,0.862170
0.420,1021.234,0.858450
0.430,1022.432,0.854722
0.440,1021.754,0.862867
0.450,1021.840,0.863588
0.460,1022.282,0.857278
0.470,1020.929,0.864763
0.480,1021.555,0.858072
0.490,1022.451,0.853791
0.500,1021.425,0.866688
0.510,1022.130,0.858102
0.520,1022.154,0.856151
0.530,1020.646,0.864606
0.540,1021.952,0.856532
0.550,1022.536,0.858248
0.560,1021.193,0.867169
0.570,1022.275,0.858224
0.580,1022.092,0.858403
0.590,1020.422,0.861204
0.600,1022.239,0.854180
0.610,1022.273,0.860480
0.620,1021.199,0.863408
0.630,1022.160,0.855216
0.640,1021.613,0.861242
0.650,1020.685,0.860455
0.660,1022.255,0.853356
0.670,1021.876,0.861644
0.680,1021.489,0.865749
0.690,1022.281,0.854285
0.700,1021.079,0.861497
0.710,1020.996,0.860342
0.720,1022.303,0.855916
0.730,1021.645,0.861697
0.740,1021.619,0.863413
0.750,1022.236,0.856223
0.760,1020.939,0.863159
0.770,1021.513,0.859015
0.780,1022.399,0.855333
0.790,1021.505,0.864827
0.800,1021.983,0.857783
0.810,1022.147,0.856480
0.820,1020.736,0.865351
0.830,1021.803,0.855804
0.840,1022.605,0.856951
0.850,1021.343,0.867532
0.860,1022.244,0.860173
0.870,1022.150,0.858187
0.880,1020.445,0.862143
0.890,1022.179,0.854600
0.900,1022.320,0.858711
0.910,1021.310,0.863527
0.920,1022.190,0.854790
0.930,1021.805,0.862042
0.940,1020.654,0.861617
0.950,1022.203,0.852731
0.960,1021.938,0.859583
0.970,1021.392,0.866313
0.980,1022.339,0.852802
0.990,1021.274,0.861714
1.000,1020.920,0.861302
1.010,1022.318,0.856102
1.020,1021.680,0.861121
1.030,1021.547,0.863730
1.040,1022.176,0.857504
1.050,1021.021,0.864100
1.060,1020.957,0.854515
1.070,1021.927,0.851049
1.080,1021.262,0.863025
1.090,1021.905,0.858533
1.100,1022.241,0.858938
1.110,1020.966,0.866802
1.120,1021.816,0.857120
1.130,1022.598,0.855890
1.140,1021.351,0.865783
1.150,1022.275,0.861395
1.160,1022.357,0.859028
1.170,1020.587,0.863668
1.180,1022.138,0.857188
1.190,1022.373,0.857193
1.200,1021.341,0.863332
1.210,1022.195,0.855149
1.220,1022.028,0.862881
1.230,1020.609,0.861930
1.240,1022.282,0.852846
1.250,1022.050,0.857988
1.260,1021.350,0.865262
1.270,1022.279,0.852507
1.280,1021.501,0.863617
1.290,1020.849,0.862385
1.300,1022.275,0.854255
1.310,1021.705,0.858784
1.320,1021.594,0.861569
1.330,1022.323,0.857627
1.340,1021.206,0.865513
1.350,1021.097,0.857869
1.360,1022.242,0.855024
1.370,1021.495,0.863945
1.380,1021.882,0.857607
1.390,1022.172,0.857221
1.400,1020.985,0.867569
1.410,1021.716,0.859429
1.420,1022.392,0.854110
1.430,1021.311,0.863617
1.440,1021.990,0.855747
1.450,1022.200,0.851694
1.460,1020.633,0.861264
1.470,1022.082,0.855423
1.480,1022.377,0.856089
1.490,1021.293,0.862547
1.500,1022.191,0.853349
1.510,1021.858,0.853279
1.520,1020.621,0.859942
