time,frequency,confidence
0.000,176.718,0.108804
0.010,175.828,0.083975
0.020,175.439,0.114888
0.030,175.441,0.101519
0.040,1977.207,0.008247
0.050,1383.631,0.006611
0.060,1978.462,0.003755
0.070,1980.128,0.003444
0.080,1982.191,0.003315
0.090,1982.441,0.002578
0.100,1983.244,0.002725
0.110,1983.341,0.002745
0.120,1983.277,0.002635
0.130,1983.504,0.003039
0.140,1983.277,0.002976
0.150,1983.651,0.002725
0.160,1985.043,0.002957
0.170,1984.437,0.002791
0.180,1985.321,0.003193
0.190,1984.646,0.003011
0.200,1983.947,0.002685
0.210,1983.018,0.002493
0.220,1982.616,0.002260
0.230,1982.104,0.002358
0.240,1981.336,0.002417
0.250,1981.808,0.002315
0.260,1983.130,0.002427
0.270,1982.208,0.002319
0.280,1983.101,0.002740
0.290,1983.380,0.002779
0.300,1982.668,0.002473
0.310,1982.494,0.002261
0.320,1982.280,0.002250
0.330,1982.704,0.002265
0.340,1982.550,0.002564
0.350,1982.370,0.002457
0.360,1983.373,0.002368
0.370,1982.731,0.002327
0.380,1982.795,0.002293
0.390,1984.073,0.002953
0.400,1983.520,0.002697
0.410,1982.858,0.002235
0.420,1982.191,0.002150
0.430,1981.522,0.002084
0.440,1981.656,0.002259
0.450,1981.791,0.002256
0.460,1982.293,0.002053
0.470,1983.075,0.002252
0.480,1982.035,0.002006
0.490,1983.588,0.002595
0.500,1984.007,0.002691
0.510,1983.637,0.002361
0.520,1982.614,0.002203
0.530,1981.979,0.002058
0.540,1981.515,0.002243
0.550,1981.446,0.002223
0.560,1982.254,0.002090
0.570,1982.462,0.002150
0.580,1982.620,0.002144
0.590,1983.182,0.002280
0.600,1983.949,0.002846
0.610,1983.744,0.002514
0.620,1983.107,0.002197
0.630,1982.112,0.002164
0.640,1981.540,0.002140
0.650,1981.471,0.002253
0.660,1981.953,0.002116
0.670,1982.517,0.002022
0.680,1981.945,0.002189
0.690,1982.797,0.002175
0.700,1983.797,0.002665
0.710,1983.598,0.002601
0.720,1983.528,0.002311
0.730,1982.514,0.002159
0.740,1981.952,0.002035
0.750,1981.646,0.002331
0.760,1981.830,0.002259
0.770,1981.913,0.001961
0.780,1981.714,0.002101
0.790,1981.620,0.002127
0.800,1983.058,0.002414
0.810,1983.302,0.002610
0.820,1983.652,0.002294
0.830,1983.497,0.002357
0.840,1982.204,0.002088
0.850,1982.179,0.002264
0.860,1982.292,0.002382
0.870,1982.652,0.002098
0.880,1981.839,0.001995
0.890,1981.242,0.002081
0.900,1982.438,0.002263
0.910,1982.858,0.002457
0.920,1983.829,0.002463
0.930,1983.706,0.002299
0.940,1983.114,0.002276
0.950,1982.451,0.002176
0.960,1982.369,0.002437
0.970,1982.275,0.002260
0.980,1982.371,0.001973
0.990,1981.489,0.002146
1.000,1981.632,0.002132
1.010,1982.488,0.002467
1.020,1982.584,0.002395
1.030,1983.985,0.002281
1.040,1983.111,0.002287
1.050,1983.261,0.002251
1.060,1983.030,0.002427
1.070,1982.340,0.002353
1.080,1982.306,0.001986
1.090,1981.366,0.002029
1.100,1981.348,0.002047
1.110,1982.266,0.002297
1.120,1982.459,0.002386
1.130,1983.336,0.002304
1.140,1983.525,0.002256
1.150,1982.323,0.002240
1.160,1983.157,0.002333
1.170,1982.584,0.002390
1.180,1982.085,0.002123
1.190,1982.296,0.002086
1.200,1981.076,0.002011
1.210,1982.191,0.002334
1.220,1983.147,0.002683
1.230,1983.414,0.002459
1.240,1984.314,0.002459
1.250,1983.051,0.002374
1.260,1983.494,0.002509
1.270,1983.568,0.002681
1.280,1982.933,0.002441
1.290,1982.537,0.002054
1.300,1982.332,0.002139
1.310,1982.362,0.002179
1.320,1982.638,0.002448
1.330,1982.687,0.002396
1.340,1983.891,0.002313
1.350,1982.834,0.002264
1.360,1982.206,0.002243
1.370,1983.318,0.002505
1.380,1982.391,0.002322
1.390,1982.609,0.002078
1.400,1982.319,0.002054
1.410,1982.147,0.002015
1.420,1982.149,0.002245
1.430,1982.178,0.002363
1.440,1982.752,0.002216
1.450,1983.406,0.002285
1.460,1982.204,0.002083
1.470,1983.361,0.002581
1.480,1982.974,0.002501
1.490,1982.170,0.002126
1.500,1982.252,0.002096
1.510,1981.632,0.002007
1.520,1982.032,0.002115
1.530,1982.241,0.002340
1.540,1982.403,0.002231
1.550,1983.463,0.002248
1.560,1982.124,0.002059
1.570,1982.885,0.002296
1.580,1983.822,0.002697
1.590,1983.051,0.002389
1.600,1065.503,0.002073
1.610,1981.923,0.001988
1.620,1981.045,0.002076
1.630,1981.520,0.002250
1.640,1981.822,0.002219
1.650,1982.427,0.002110
1.660,1982.966,0.002267
1.670,1982.413,0.002053
1.680,1983.953,0.002706
1.690,1983.595,0.002562
1.700,1983.246,0.002214
1.710,1982.428,0.002136
1.720,1981.247,0.001955
1.730,1981.338,0.002170
1.740,1981.894,0.002226
1.750,1982.563,0.002074
1.760,1982.384,0.002184
1.770,1983.073,0.002187
1.780,1983.685,0.002429
1.790,1983.616,0.002668
1.800,1983.371,0.002317
1.810,1983.015,0.002168
1.820,1981.632,0.002026
1.830,1981.302,0.002170
1.840,1981.728,0.002268
1.850,1981.832,0.002018
1.860,1982.259,0.002111
1.870,1982.080,0.002099
1.880,1983.370,0.002203
1.890,1983.788,0.002670
1.900,1983.568,0.002441
1.910,1983.261,0.002191
1.920,1982.316,0.002069
1.930,1981.431,0.002018
1.940,1982.022,0.002388
1.950,1982.184,0.002211
1.960,1981.561,0.001922
1.970,1981.614,0.002111
1.980,1981.969,0.002102
1.990,1983.109,0.002455
2.000,1983.245,0.002515
2.010,1983.471,0.002213
2.020,1983.230,0.002293
2.030,1981.681,0.001978
2.040,1982.203,0.002288
2.050,1982.290,0.002269
2.060,1982.470,0.001990
2.070,1981.923,0.002096
2.080,1981.881,0.002078
2.090,1982.639,0.002321
2.100,1983.157,0.002498
2.110,1984.377,0.002412
2.120,1983.035,0.002273
2.130,1982.740,0.002214
2.140,1982.269,0.002128
2.150,1982.252,0.002410
2.160,1982.096,0.002072
2.170,1982.141,0.001987
2.180,1981.566,0.002111
2.190,1981.912,0.002124
2.200,1982.717,0.002512
2.210,1983.122,0.002403
2.220,1983.759,0.002204
2.230,1982.438,0.002231
2.240,1982.881,0.002191
2.250,1982.588,0.002370
