time,frequency,confidence
0.000,129.503,0.424367
0.010,130.339,0.779539
0.020,130.444,0.847695
0.030,130.470,0.877198
0.040,130.439,0.883528
0.050,130.448,0.881038
0.060,130.542,0.880759
0.070,130.537,0.875632
0.080,130.506,0.882128
0.090,130.472,0.880797
0.100,130.540,0.869798
0.110,130.578,0.865816
0.120,130.413,0.881137
0.130,130.528,0.876382
0.140,130.531,0.877275
0.150,130.536,0.882070
0.160,130.564,0.885293
0.170,130.581,0.886008
0.180,130.568,0.891934
0.190,130.469,0.897358
0.200,130.674,0.906693
0.210,130.616,0.906620
0.220,130.537,0.909256
0.230,130.641,0.913742
0.240,130.605,0.911530
0.250,130.572,0.913374
0.260,130.560,0.915501
0.270,130.577,0.919375
0.280,130.627,0.918807
0.290,130.604,0.918512
0.300,130.697,0.926596
0.310,130.626,0.921096
0.320,130.595,0.921560
0.330,130.796,0.931521
0.340,130.667,0.922219
0.350,130.629,0.921515
0.360,130.642,0.922400
0.370,130.642,0.916472
0.380,130.618,0.914300
0.390,130.558,0.905923
0.400,130.626,0.909677
0.410,130.628,0.901972
0.420,130.588,0.899630
0.430,130.695,0.912875
0.440,130.618,0.910159
0.450,130.592,0.911997
0.460,130.729,0.916254
0.470,130.657,0.919591
0.480,130.681,0.925656
0.490,130.725,0.923450
0.500,130.714,0.925316
0.510,130.655,0.925570
0.520,130.654,0.923831
0.530,130.775,0.934148
0.540,130.690,0.927954
0.550,130.763,0.933483
0.560,130.707,0.933925
0.570,130.766,0.935882
0.580,130.767,0.936689
0.590,130.774,0.929488
0.600,130.767,0.935139
0.610,130.725,0.931059
0.620,130.760,0.929431
0.630,130.778,0.930412
0.640,130.739,0.930519
0.650,130.754,0.929137
0.660,130.807,0.932364
0.670,130.730,0.922739
0.680,130.745,0.918880
0.690,130.612,0.904341
0.700,130.598,0.897050
0.710,130.631,0.899094
0.720,130.565,0.876331
0.730,130.638,0.880827
0.740,130.505,0.868400
0.750,130.530,0.886300
0.760,130.536,0.882180
0.770,130.485,0.889798
0.780,130.487,0.905544
0.790,130.566,0.910560
0.800,130.524,0.914872
0.810,130.554,0.911595
0.820,130.462,0.913643
0.830,130.491,0.908646
0.840,130.493,0.914078
0.850,130.611,0.929134
0.860,130.646,0.921379
0.870,130.500,0.907923
0.880,130.636,0.921540
0.890,130.446,0.908267
0.900,130.636,0.927166
0.910,130.572,0.913765
0.920,130.770,0.929575
0.930,130.642,0.915270
0.940,130.713,0.917268
0.950,130.535,0.907203
0.960,130.566,0.894291
0.970,130.635,0.903551
0.980,130.515,0.884627
0.990,130.589,0.875128
1.000,130.510,0.854027
1.010,130.450,0.854022
1.020,130.406,0.852201
1.030,130.473,0.840306
1.040,130.624,0.858964
1.050,130.703,0.880262
1.060,130.592,0.875094
1.070,130.755,0.902496
1.080,130.546,0.884834
1.090,130.619,0.884547
1.100,130.736,0.900977
1.110,130.810,0.900712
1.120,130.752,0.900684
1.130,130.723,0.901014
1.140,130.674,0.894243
1.150,130.654,0.890963
1.160,130.712,0.897018
1.170,130.843,0.905216
1.180,130.828,0.902243
1.190,130.936,0.900372
1.200,130.627,0.879394
1.210,130.475,0.866252
1.220,130.576,0.872258
1.230,130.600,0.874989
1.240,130.783,0.871603
1.250,130.726,0.860949
1.260,130.609,0.837569
1.270,130.525,0.823623
1.280,130.566,0.808711
1.290,130.446,0.738596
1.300,130.834,0.622422
1.310,130.617,0.667410
1.320,130.419,0.532591
1.330,130.286,0.600384
1.340,130.550,0.740977
1.350,130.373,0.741474
1.360,130.693,0.747840
1.370,130.406,0.782700
1.380,130.406,0.801276
1.390,130.368,0.769574
1.400,130.417,0.797290
1.410,130.425,0.787486
1.420,130.443,0.776511
1.430,130.866,0.804493
1.440,130.632,0.816678
1.450,130.599,0.744280
1.460,130.404,0.745435
1.470,130.650,0.776380
1.480,130.433,0.756180
1.490,130.420,0.707498
1.500,130.667,0.653515
1.510,130.571,0.705132
1.520,130.400,0.724743
1.530,130.609,0.678924
1.540,130.325,0.660986
1.550,130.324,0.449196
1.560,130.328,0.528864
1.570,130.422,0.409295
1.580,130.411,0.386822
1.590,130.794,0.644026
1.600,130.907,0.825920
1.610,130.833,0.884464
1.620,130.934,0.913282
1.630,131.121,0.913990
1.640,130.711,0.912681
1.650,130.450,0.891706
1.660,130.579,0.891229
1.670,130.596,0.908795
1.680,130.941,0.926597
1.690,130.997,0.925643
1.700,130.833,0.924586
1.710,130.687,0.916029
1.720,130.862,0.907209
1.730,130.752,0.893200
1.740,130.911,0.888840
1.750,131.167,0.879781
1.760,130.900,0.868515
1.770,130.503,0.849385
1.780,130.572,0.868234
1.790,130.260,0.847782
1.800,130.131,0.816377
1.810,130.648,0.819569
1.820,130.825,0.786960
1.830,131.101,0.615480
1.840,130.790,0.371284
1.850,173.572,0.689457
1.860,173.012,0.815254
1.870,172.969,0.853893
1.880,172.493,0.891223
1.890,172.807,0.883508
1.900,172.283,0.891515
1.910,172.531,0.888678
1.920,172.660,0.897146
1.930,172.638,0.908742
1.940,172.450,0.887977
1.950,172.430,0.889884
1.960,172.298,0.864517
1.970,172.479,0.846460
1.980,172.592,0.840379
1.990,172.667,0.862317
2.000,172.374,0.874075
2.010,172.367,0.853107
2.020,172.056,0.851986
2.030,172.450,0.843356
2.040,172.895,0.841917
2.050,172.427,0.850245
2.060,172.443,0.849203
2.070,172.473,0.860020
2.080,172.531,0.857167
2.090,172.644,0.885133
2.100,172.796,0.888164
2.110,172.388,0.884456
2.120,172.421,0.875089
2.130,172.252,0.895996
2.140,172.378,0.891739
2.150,172.473,0.909344
2.160,172.541,0.909667
2.170,172.239,0.894140
2.180,172.308,0.914337
2.190,172.407,0.909152
2.200,172.743,0.878520
2.210,172.507,0.818116
2.220,172.096,0.796585
2.230,172.060,0.851569
2.240,172.342,0.892860
2.250,172.664,0.914994
2.260,172.624,0.912057
2.270,172.765,0.909955
2.280,172.849,0.908593
2.290,172.546,0.909242
2.300,172.559,0.908327
2.310,172.362,0.891222
2.320,172.592,0.906665
2.330,172.971,0.909880
2.340,172.843,0.904473
2.350,172.635,0.914941
2.360,172.663,0.905558
2.370,172.401,0.896938
2.380,172.391,0.903869
2.390,172.720,0.917351
2.400,172.758,0.931490
2.410,172.504,0.919618
2.420,172.442,0.932355
2.430,172.400,0.921669
2.440,172.577,0.935021
2.450,172.725,0.934892
2.460,172.810,0.938675
2.470,172.349,0.924908
2.480,172.254,0.912174
2.490,172.077,0.926585
2.500,172.569,0.924666
2.510,172.632,0.940555
2.520,172.846,0.938525
2.530,172.510,0.930428
2.540,172.555,0.931171
2.550,172.610,0.921124
2.560,172.513,0.934813
2.570,172.924,0.936180
2.580,172.447,0.931813
2.590,172.470,0.922391
2.600,172.338,0.920152
2.610,172.376,0.922324
2.620,172.663,0.927550
2.630,172.520,0.936432
2.640,172.594,0.928904
