time,frequency,confidence
0.000,1987.007,0.411581
0.010,1990.514,0.378355
0.020,1989.536,0.297335
0.030,1986.753,0.257039
0.040,1981.280,0.192329
0.050,1976.909,0.123122
0.060,1971.085,0.097220
0.070,171.293,0.061852
0.080,171.313,0.201449
0.090,172.173,0.413774
0.100,172.231,0.649015
0.110,172.449,0.834967
0.120,172.332,0.900755
0.130,172.558,0.926834
0.140,172.521,0.914416
0.150,172.214,0.878839
0.160,172.475,0.856981
0.170,172.385,0.838690
0.180,171.969,0.821107
0.190,172.263,0.830618
0.200,172.355,0.819874
0.210,172.147,0.805979
0.220,171.982,0.825566
0.230,172.029,0.806028
0.240,171.523,0.804048
0.250,171.912,0.769060
0.260,172.800,0.817194
0.270,173.218,0.851875
0.280,172.565,0.867290
0.290,172.326,0.853083
0.300,172.576,0.885942
0.310,172.348,0.870015
0.320,172.089,0.860529
0.330,171.977,0.876723
0.340,172.319,0.897459
0.350,172.385,0.911951
0.360,172.199,0.903241
0.370,172.290,0.913262
0.380,172.313,0.913509
0.390,172.404,0.924733
0.400,172.516,0.923570
0.410,172.458,0.928143
0.420,172.424,0.928135
0.430,172.209,0.918103
0.440,172.291,0.922209
0.450,172.717,0.935716
0.460,172.607,0.938878
0.470,172.341,0.924749
0.480,172.026,0.917807
0.490,172.466,0.923293
0.500,172.735,0.935590
0.510,172.946,0.940398
0.520,172.658,0.937471
0.530,172.317,0.923162
0.540,172.501,0.926145
0.550,172.331,0.926417
0.560,172.565,0.929746
0.570,172.615,0.935046
0.580,172.666,0.932915
0.590,172.502,0.929494
0.600,172.515,0.928789
0.610,172.597,0.925607
0.620,172.570,0.934868
0.630,172.756,0.935818
0.640,172.426,0.934103
0.650,172.513,0.930222
0.660,172.654,0.931910
0.670,172.604,0.935633
0.680,172.302,0.925361
0.690,172.530,0.934483
0.700,172.741,0.935930
0.710,172.587,0.936076
0.720,172.580,0.933458
0.730,172.251,0.922893
0.740,172.443,0.926510
0.750,172.715,0.937655
0.760,172.573,0.934323
0.770,172.668,0.934092
0.780,172.590,0.932769
0.790,172.381,0.923763
0.800,172.489,0.932574
0.810,172.799,0.933879
0.820,172.742,0.935797
0.830,172.631,0.932088
0.840,172.343,0.926563
0.850,172.253,0.918654
0.860,172.476,0.928613
0.870,172.860,0.939156
0.880,172.458,0.931192
0.890,172.424,0.927018
0.900,172.401,0.923966
0.910,172.466,0.930605
0.920,172.583,0.934916
0.930,172.726,0.922039
0.940,172.581,0.797094
0.950,172.779,0.485592
0.960,174.351,0.320077
0.970,175.436,0.106795
0.980,114.930,0.438290
0.990,115.199,0.620135
1.000,115.354,0.777434
1.010,115.068,0.701025
1.020,115.532,0.358102
1.030,1832.827,0.016804
1.040,177.136,0.062025
1.050,174.989,0.121363
