time,frequency,confidence
0.000,1034.989,0.768893
0.010,1036.008,0.881438
0.020,1037.735,0.932417
0.030,1038.948,0.943705
0.040,1039.639,0.950315
0.050,1039.332,0.952956
0.060,1039.397,0.955194
0.070,1039.543,0.953295
0.080,1039.544,0.952929
0.090,1039.571,0.957119
0.100,1039.640,0.955793
0.110,1039.391,0.944530
0.120,1039.644,0.929145
0.130,1040.054,0.908447
0.140,1040.457,0.878265
0.150,1040.637,0.823832
0.160,1041.323,0.817537
0.170,1041.527,0.887102
0.180,1041.452,0.932636
0.190,1042.073,0.944596
0.200,1042.271,0.946636
0.210,1042.949,0.940568
0.220,1043.194,0.937901
0.230,1043.749,0.936877
0.240,1043.575,0.932529
0.250,1044.077,0.927216
0.260,1044.210,0.919513
0.270,1044.692,0.919212
0.280,1045.087,0.911452
0.290,1045.717,0.900680
0.300,1046.055,0.897852
0.310,1046.342,0.879988
0.320,1045.733,0.874319
0.330,1046.326,0.852371
0.340,1046.835,0.783042
0.350,1047.115,0.596686
0.360,1047.948,0.422632
0.370,1048.797,0.217091
0.380,1048.810,0.150531
0.390,1049.189,0.157821
0.400,1048.678,0.181313
0.410,1047.427,0.152018
0.420,1046.848,0.072461
0.430,175.444,0.058347
0.440,175.026,0.604769
0.450,174.845,0.791924
0.460,173.983,0.810456
0.470,173.482,0.837901
0.480,173.318,0.840038
0.490,173.183,0.850811
0.500,173.268,0.865099
0.510,173.336,0.868759
0.520,173.324,0.866844
0.530,173.379,0.862028
0.540,173.289,0.853773
0.550,173.162,0.875239
0.560,173.236,0.881994
0.570,173.413,0.863739
0.580,173.573,0.797901
0.590,173.347,0.722227
0.600,173.335,0.749622
0.610,173.297,0.830613
0.620,173.332,0.885468
0.630,173.272,0.889961
0.640,173.372,0.897682
0.650,173.478,0.895128
0.660,173.157,0.879071
0.670,173.143,0.893212
0.680,173.340,0.899743
0.690,173.525,0.899377
0.700,173.297,0.889342
0.710,173.261,0.888989
0.720,173.254,0.879510
0.730,173.246,0.894855
0.740,173.349,0.906056
0.750,173.181,0.901692
0.760,173.339,0.897600
0.770,173.323,0.889817
0.780,173.164,0.899701
0.790,173.142,0.901918
0.800,173.227,0.911439
0.810,173.355,0.907618
0.820,173.288,0.905494
0.830,173.361,0.907627
0.840,172.971,0.891651
0.850,173.065,0.901765
0.860,173.245,0.915861
0.870,173.151,0.910319
0.880,173.189,0.906457
0.890,173.361,0.904982
0.900,173.269,0.906217
0.910,173.063,0.908184
0.920,173.091,0.909034
0.930,173.278,0.913118
0.940,173.387,0.913163
0.950,173.295,0.915591
0.960,173.025,0.904482
0.970,173.037,0.910633
0.980,173.185,0.918026
0.990,173.058,0.912786
1.000,173.202,0.914736
1.010,173.389,0.910349
1.020,173.220,0.915466
1.030,172.973,0.919025
1.040,173.007,0.917627
1.050,173.051,0.922988
1.060,173.166,0.918103
1.070,173.156,0.923379
1.080,173.188,0.912824
1.090,173.135,0.925883
1.100,173.161,0.926270
1.110,172.987,0.925542
1.120,173.131,0.926687
1.130,173.181,0.918102
1.140,173.110,0.921603
1.150,173.038,0.921821
1.160,172.996,0.927927
1.170,172.994,0.923180
1.180,173.021,0.926261
1.190,173.157,0.924968
1.200,172.907,0.917672
1.210,172.982,0.926781
1.220,173.060,0.925292
1.230,172.969,0.930285
1.240,172.921,0.926969
1.250,173.011,0.924496
1.260,173.015,0.927227
1.270,172.979,0.927402
1.280,173.005,0.931386
1.290,172.962,0.926177
1.300,173.138,0.931881
1.310,173.121,0.929481
1.320,172.911,0.928127
1.330,172.974,0.931417
1.340,172.835,0.925891
1.350,172.937,0.929565
1.360,173.006,0.927854
1.370,173.003,0.927532
1.380,172.936,0.928631
1.390,172.849,0.927945
1.400,172.840,0.926668
1.410,172.996,0.897789
1.420,173.170,0.698105
1.430,173.636,0.435073
1.440,174.871,0.232809
1.450,1039.458,0.129902
1.460,1040.278,0.064595
1.470,1045.927,0.073226
1.480,1044.989,0.111388
1.490,116.746,0.123004
1.500,1045.399,0.027548
1.510,1045.962,0.023602
1.520,1031.549,0.032981
1.530,57.339,0.243004
1.540,115.792,0.197070
1.550,116.252,0.306673
1.560,116.031,0.389531
1.570,115.753,0.127644
1.580,175.898,0.056470
1.590,175.636,0.284142
1.600,175.169,0.392179
1.610,1037.683,0.028355
1.620,1038.787,0.070980
1.630,1038.860,0.142303
1.640,1042.142,0.134391
1.650,1048.326,0.024158
1.660,165.334,0.154756
1.670,168.609,0.225065
1.680,173.185,0.440716
1.690,174.537,0.774948
1.700,174.202,0.875252
1.710,173.377,0.922284
1.720,172.927,0.936607
1.730,172.850,0.932227
1.740,172.867,0.926070
1.750,172.846,0.932395
1.760,172.589,0.924831
1.770,172.702,0.928646
1.780,172.962,0.935555
1.790,172.909,0.936505
1.800,172.704,0.933043
1.810,172.532,0.922454
1.820,172.787,0.934667
1.830,172.914,0.937585
1.840,172.792,0.931661
1.850,172.648,0.933423
