time,frequency,confidence
0.000,262.214,0.652517
0.010,262.266,0.821617
0.020,262.402,0.882291
0.030,262.441,0.899831
0.040,262.412,0.908807
0.050,262.350,0.921865
0.060,262.399,0.932673
0.070,262.439,0.943634
0.080,262.565,0.945897
0.090,262.579,0.953164
0.100,262.581,0.953537
0.110,262.535,0.955916
0.120,262.624,0.960007
0.130,262.481,0.961350
0.140,262.342,0.962199
0.150,262.416,0.962604
0.160,262.357,0.959687
0.170,262.385,0.962590
0.180,262.229,0.958810
0.190,262.301,0.957830
0.200,262.333,0.960398
0.210,262.256,0.958202
0.220,262.183,0.958493
0.230,262.306,0.960701
0.240,262.294,0.956587
0.250,262.374,0.962791
0.260,262.335,0.962079
0.270,262.525,0.962439
0.280,262.707,0.964224
0.290,262.854,0.961331
0.300,262.828,0.963189
0.310,262.814,0.966838
0.320,262.629,0.966921
0.330,262.454,0.970600
0.340,262.446,0.967028
0.350,262.357,0.964625
0.360,262.370,0.965252
0.370,262.324,0.961851
0.380,262.308,0.957768
0.390,262.264,0.960738
0.400,262.299,0.953701
0.410,262.223,0.958907
0.420,262.203,0.954555
0.430,262.243,0.954180
0.440,262.219,0.960773
0.450,262.292,0.957832
0.460,262.266,0.959102
0.470,262.370,0.956928
0.480,262.631,0.953599
0.490,262.725,0.949949
0.500,262.735,0.951976
0.510,262.515,0.958567
0.520,262.306,0.958140
0.530,262.233,0.953647
0.540,262.113,0.954652
0.550,262.015,0.944456
0.560,262.144,0.938556
0.570,262.039,0.939082
0.580,262.054,0.935271
0.590,262.028,0.929726
0.600,262.035,0.921388
0.610,262.159,0.913286
0.620,261.877,0.921906
0.630,262.064,0.919194
0.640,262.032,0.904245
0.650,262.101,0.910417
0.660,261.969,0.912133
0.670,262.038,0.920977
0.680,262.161,0.907361
0.690,262.464,0.903385
0.700,262.272,0.919283
0.710,262.082,0.925409
0.720,261.991,0.905873
0.730,261.925,0.915541
0.740,261.999,0.909016
0.750,262.092,0.892764
0.760,262.069,0.886160
0.770,262.150,0.875917
0.780,262.149,0.867818
0.790,261.952,0.891232
0.800,261.971,0.870900
0.810,261.880,0.868032
0.820,262.071,0.868393
0.830,261.954,0.821793
0.840,262.130,0.833439
0.850,261.904,0.810536
0.860,261.814,0.848203
0.870,261.727,0.752114
0.880,261.566,0.677643
0.890,260.854,0.725357
0.900,260.999,0.751939
0.910,261.547,0.705364
0.920,261.863,0.695947
0.930,262.081,0.593116
0.940,262.242,0.583731
0.950,261.997,0.571940
0.960,262.287,0.569096
0.970,262.151,0.498218
0.980,524.614,0.545327
0.990,524.618,0.611972
1.000,524.326,0.543899
1.010,524.531,0.463433
1.020,524.521,0.513564
1.030,524.451,0.389821
1.040,524.088,0.439890
1.050,86.940,0.436507
1.060,173.875,0.536283
1.070,86.649,0.509360
1.080,172.700,0.561177
1.090,172.978,0.606217
1.100,173.069,0.694734
1.110,173.288,0.694553
1.120,173.323,0.600576
1.130,173.496,0.649904
1.140,173.612,0.517869
1.150,173.511,0.526193
1.160,173.634,0.477839
1.170,173.807,0.396913
1.180,173.827,0.400207
1.190,524.501,0.365414
1.200,524.189,0.356511
1.210,173.631,0.410548
1.220,173.889,0.429164
1.230,173.891,0.558513
1.240,173.750,0.636165
1.250,173.567,0.685259
1.260,173.360,0.769551
1.270,172.996,0.818318
1.280,173.032,0.886607
1.290,173.024,0.851384
1.300,173.158,0.890777
1.310,173.209,0.918571
1.320,173.441,0.912806
1.330,173.610,0.888198
1.340,173.574,0.887595
1.350,173.880,0.885597
1.360,173.793,0.864512
1.370,173.908,0.846802
1.380,173.948,0.826751
1.390,173.734,0.785272
1.400,174.084,0.776365
1.410,174.128,0.782355
1.420,174.075,0.813387
1.430,173.922,0.828301
1.440,173.820,0.864844
1.450,173.409,0.879180
1.460,173.534,0.857572
1.470,173.444,0.627552
1.480,520.406,0.768039
1.490,520.649,0.843458
1.500,520.009,0.776426
1.510,521.521,0.660071
1.520,522.049,0.714360
1.530,523.065,0.800043
1.540,523.949,0.785288
1.550,523.805,0.893005
1.560,524.362,0.914272
1.570,524.439,0.900036
1.580,524.394,0.927019
1.590,524.487,0.925339
1.600,524.260,0.920696
1.610,524.087,0.907139
1.620,524.178,0.931601
1.630,524.880,0.925285
1.640,524.259,0.908161
1.650,523.596,0.797037
1.660,522.476,0.791407
1.670,522.021,0.656632
1.680,520.657,0.728418
1.690,520.931,0.858101
1.700,522.326,0.832055
1.710,521.838,0.730950
1.720,174.275,0.746972
1.730,174.542,0.836986
1.740,174.366,0.877986
1.750,174.255,0.880401
1.760,173.689,0.889567
1.770,173.703,0.892838
1.780,173.745,0.898637
1.790,173.609,0.906407
1.800,173.662,0.915522
1.810,173.584,0.914972
1.820,173.731,0.913404
1.830,173.934,0.916999
1.840,173.813,0.930705
1.850,173.654,0.932252
1.860,173.620,0.936210
1.870,173.510,0.937678
1.880,173.404,0.940179
1.890,173.641,0.948285
1.900,173.363,0.946986
1.910,173.348,0.946424
1.920,173.392,0.945419
1.930,173.511,0.945393
1.940,173.617,0.942864
1.950,173.558,0.944173
1.960,173.536,0.946856
1.970,173.456,0.941400
1.980,173.634,0.935243
1.990,173.628,0.939974
2.000,173.629,0.936343
2.010,173.597,0.930857
2.020,173.370,0.932952
2.030,173.489,0.930530
2.040,173.607,0.926775
2.050,173.595,0.929119
2.060,173.550,0.934410
2.070,173.652,0.934205
2.080,173.338,0.941708
2.090,173.225,0.938292
2.100,173.296,0.946568
2.110,173.396,0.943117
2.120,173.426,0.945560
2.130,173.557,0.946571
2.140,173.532,0.946451
2.150,173.451,0.949963
2.160,173.339,0.939812
2.170,173.381,0.947174
2.180,173.543,0.949114
2.190,173.586,0.945257
2.200,173.448,0.947293
2.210,173.397,0.940639
2.220,173.488,0.940687
2.230,173.247,0.935470
2.240,173.196,0.939772
2.250,173.439,0.934188
2.260,173.462,0.939107
2.270,173.586,0.932415
2.280,173.276,0.934900
2.290,173.056,0.939616
2.300,173.012,0.932836
2.310,173.076,0.943887
2.320,173.286,0.941096
2.330,173.465,0.948243
2.340,173.590,0.946709
2.350,173.399,0.948058
2.360,173.533,0.953150
2.370,173.333,0.948784
2.380,173.201,0.950224
2.390,173.316,0.950633
2.400,173.356,0.950143
2.410,173.213,0.947411
2.420,173.039,0.940757
2.430,173.044,0.943529
2.440,172.995,0.934539
2.450,173.266,0.942669
2.460,173.201,0.939879
2.470,173.146,0.933303
2.480,173.155,0.932936
2.490,172.983,0.936369
2.500,173.057,0.940479
2.510,173.286,0.935209
2.520,173.175,0.940838
2.530,173.209,0.946372
2.540,173.449,0.946783
2.550,173.368,0.953838
2.560,173.161,0.949339
2.570,173.225,0.955617
2.580,173.277,0.950079
2.590,173.224,0.953696
2.600,173.344,0.952216
2.610,173.178,0.953617
2.620,173.011,0.953819
2.630,172.925,0.943159
2.640,172.879,0.948651
2.650,172.789,0.940303
2.660,172.975,0.943435
2.670,173.066,0.937661
2.680,172.998,0.936492
2.690,172.910,0.934189
2.700,172.744,0.913274
2.710,172.641,0.878978
2.720,173.034,0.808837
2.730,173.336,0.778233
