time,frequency,confidence
2.140,170.763,0.904487
2.150,171.509,0.875948
2.160,172.417,0.901000
2.170,171.643,0.877858
2.180,171.354,0.901223
2.190,170.841,0.916662
2.200,171.592,0.895595
2.210,171.250,0.905101
2.220,171.526,0.875349
2.230,171.769,0.882445
2.240,171.863,0.900601
2.250,171.854,0.916495
2.260,171.663,0.915810
2.270,171.712,0.913053
2.280,173.144,0.934227
2.290,172.550,0.929212
2.300,171.913,0.909088
2.310,171.142,0.921062
2.320,171.803,0.903757
2.330,172.592,0.907410
2.340,172.350,0.909403
2.350,171.954,0.894203
2.360,171.749,0.918452
2.370,171.291,0.915693
2.380,171.607,0.908573
2.390,172.042,0.894206
2.400,172.575,0.882580
2.410,172.358,0.898074
2.420,171.603,0.914885
2.430,171.509,0.915148
2.440,171.355,0.910046
2.450,172.570,0.851896
2.460,173.546,0.577284
2.470,173.143,0.319203
2.480,169.725,0.132509
2.490,65.332,0.083090
2.500,65.299,0.330073
2.510,65.445,0.166465
2.520,129.604,0.176567
2.530,129.002,0.327069
2.540,128.226,0.329514
2.550,129.562,0.201825
2.560,130.779,0.294735
2.570,131.572,0.253241
2.580,65.212,0.281627
2.590,131.038,0.360605
2.600,129.497,0.363005
2.610,126.880,0.125376
2.620,169.327,0.212982
2.630,169.625,0.395359
2.640,172.307,0.663795
2.650,171.614,0.799652
2.660,172.544,0.803999
2.670,173.880,0.561154
2.680,117.371,0.030760
2.690,32.234,0.011786
2.700,193.961,0.047798
2.710,172.978,0.016204
2.720,175.988,0.083469
2.730,176.292,0.674028
2.740,174.758,0.764853
2.750,173.485,0.880702
2.760,172.084,0.903032
2.770,171.996,0.915988
2.780,172.754,0.938193
2.790,172.549,0.942663
2.800,172.345,0.929326
2.810,171.621,0.927918
2.820,171.858,0.913044
2.830,172.662,0.923990
2.840,172.165,0.906470
2.850,172.509,0.922448
2.860,172.656,0.906705
2.870,173.066,0.830682
2.880,172.971,0.779469
2.890,172.531,0.771025
2.900,172.551,0.864437
2.910,172.358,0.911128
2.920,172.472,0.921564
2.930,172.036,0.915213
2.940,171.690,0.917898
2.950,172.440,0.918179
2.960,172.194,0.912596
2.970,172.300,0.923272
2.980,172.255,0.917472
2.990,172.403,0.929461
3.000,172.448,0.930388
3.010,172.072,0.916308
3.020,172.464,0.925381
3.030,172.487,0.924089
3.040,172.498,0.938440
3.050,172.058,0.918702
3.060,171.911,0.929255
3.070,172.630,0.937385
3.080,172.689,0.940104
3.090,172.571,0.937651
3.100,172.142,0.919988
3.110,172.180,0.922622
3.120,172.588,0.935914
3.130,172.694,0.938673
3.140,172.517,0.938570
3.150,172.422,0.930409
3.160,172.235,0.924467
3.170,172.120,0.920022
3.180,172.411,0.929708
3.190,172.716,0.939485
3.200,172.913,0.941494
3.210,172.449,0.937584
3.220,172.438,0.923240
3.230,172.764,0.923894
3.240,172.721,0.902151
3.250,172.699,0.915607
3.260,171.916,0.904125
3.270,172.303,0.911408
3.280,172.307,0.923094
3.290,172.586,0.924296
3.300,172.818,0.934264
3.310,172.451,0.925490
3.320,172.550,0.934546
3.330,172.398,0.934987
3.340,172.238,0.921070
3.350,172.399,0.929568
3.360,172.530,0.925977
3.370,172.559,0.937342
3.380,172.224,0.919384
3.390,172.435,0.931105
3.400,172.539,0.937619
3.410,172.259,0.923008
3.420,172.554,0.938391
3.430,172.389,0.927475
3.440,172.554,0.938046
3.450,172.596,0.933626
3.460,172.420,0.932730
3.470,172.424,0.934029
3.480,172.414,0.932408
3.490,172.651,0.941899
3.500,172.454,0.928908
3.510,172.529,0.935625
3.520,172.417,0.929759
3.530,172.339,0.928878
3.540,172.753,0.942905
3.550,172.727,0.940239
3.560,172.660,0.938089
3.570,172.633,0.936310
3.580,172.402,0.931891
3.590,172.382,0.931189
3.600,172.802,0.940699
3.610,172.677,0.944345
3.620,172.350,0.931339
3.630,172.102,0.914245
3.640,172.028,0.912806
3.650,172.664,0.930952
3.660,172.828,0.941331
3.670,172.834,0.941172
3.680,172.189,0.926140
3.690,172.274,0.923372
3.700,172.159,0.898541
3.710,171.960,0.812324
3.720,171.077,0.486821
3.730,169.283,0.306530
3.740,166.252,0.195849
3.750,116.529,0.038930
3.760,116.830,0.093262
3.770,116.560,0.465604
3.780,116.395,0.635208
3.790,116.344,0.191691
3.800,32.507,0.015913
3.810,116.238,0.041101
3.820,116.395,0.317103
3.830,172.873,0.366335
3.840,116.192,0.413003
3.850,117.950,0.347274
3.860,131.133,0.069495
3.870,183.504,0.050580
3.880,177.519,0.073893
3.890,175.057,0.217300
3.900,174.390,0.207723
3.910,174.047,0.353494
3.920,173.776,0.462844
3.930,175.510,0.094049
3.940,177.299,0.071087
3.950,177.979,0.045265
3.960,952.298,0.017125
3.970,1967.414,0.019594
3.980,1968.870,0.024991
3.990,201.774,0.031289
4.000,201.504,0.057100
