time,frequency,confidence
0.000,520.915,0.838725
0.010,522.228,0.903208
0.020,522.980,0.948859
0.030,523.019,0.951352
0.040,523.098,0.954815
0.050,522.895,0.948847
0.060,523.068,0.956434
0.070,522.992,0.958046
0.080,523.053,0.958533
0.090,522.937,0.958039
0.100,522.972,0.955962
0.110,523.121,0.959196
0.120,523.010,0.955852
0.130,523.055,0.954121
0.140,522.886,0.949768
0.150,522.928,0.950515
0.160,522.867,0.948952
0.170,522.986,0.948643
0.180,523.130,0.950586
0.190,523.156,0.950414
0.200,523.184,0.953643
0.210,523.278,0.954006
0.220,523.376,0.955318
0.230,523.155,0.953383
0.240,523.078,0.953022
0.250,522.942,0.947984
0.260,522.787,0.943825
0.270,522.476,0.932916
0.280,522.731,0.933609
0.290,522.686,0.932101
0.300,522.519,0.922085
0.310,522.525,0.912607
0.320,522.835,0.900870
0.330,523.066,0.909272
0.340,523.294,0.895528
0.350,523.684,0.918069
0.360,523.450,0.919099
0.370,523.434,0.923669
0.380,523.309,0.915180
0.390,522.747,0.893759
0.400,522.799,0.880374
0.410,522.562,0.828643
0.420,522.670,0.798374
0.430,522.321,0.714727
0.440,522.659,0.689529
0.450,522.628,0.633787
0.460,174.169,0.557726
0.470,174.071,0.650039
0.480,174.165,0.645136
0.490,174.303,0.688689
0.500,174.164,0.677708
0.510,174.076,0.690120
0.520,174.122,0.699921
0.530,174.097,0.743413
0.540,174.109,0.706582
0.550,174.104,0.680525
0.560,174.031,0.685217
0.570,174.097,0.618863
0.580,174.145,0.638492
0.590,174.059,0.717001
0.600,173.786,0.783589
0.610,173.761,0.837526
0.620,174.000,0.812996
0.630,173.880,0.841498
0.640,173.973,0.864723
0.650,173.792,0.867390
0.660,173.772,0.870332
0.670,173.576,0.880937
0.680,173.729,0.852821
0.690,173.687,0.857115
0.700,173.631,0.846124
0.710,173.669,0.861762
0.720,173.426,0.845014
0.730,173.543,0.850410
0.740,173.295,0.858599
0.750,173.354,0.878739
0.760,173.539,0.902124
0.770,173.811,0.902723
0.780,173.922,0.902617
0.790,173.497,0.913795
0.800,173.344,0.907960
0.810,173.272,0.913964
0.820,173.516,0.908035
0.830,173.415,0.903699
0.840,173.301,0.903988
0.850,173.224,0.912962
0.860,172.877,0.888568
